Package,LibPath,Version,Priority,Built
vctrs,C:/Users/jkee2/Documents/R/win-library/3.6,0.2.0,NA,3.6.1
viridis,C:/Users/jkee2/Documents/R/win-library/3.6,0.5.1,NA,3.6.1
viridisLite,C:/Users/jkee2/Documents/R/win-library/3.6,0.3.0,NA,3.6.1
webshot,C:/Users/jkee2/Documents/R/win-library/3.6,0.5.1,NA,3.6.1
whisker,C:/Users/jkee2/Documents/R/win-library/3.6,0.4,NA,3.6.1
withr,C:/Users/jkee2/Documents/R/win-library/3.6,2.1.2,NA,3.6.1
xfun,C:/Users/jkee2/Documents/R/win-library/3.6,0.8,NA,3.6.1
xml2,C:/Users/jkee2/Documents/R/win-library/3.6,1.2.1,NA,3.6.1
xopen,C:/Users/jkee2/Documents/R/win-library/3.6,1.0.0,NA,3.6.2
xtable,C:/Users/jkee2/Documents/R/win-library/3.6,1.8-4,NA,3.6.2
yaml,C:/Users/jkee2/Documents/R/win-library/3.6,2.2.0,NA,3.6.0
zeallot,C:/Users/jkee2/Documents/R/win-library/3.6,0.1.0,NA,3.6.1
zoo,C:/Users/jkee2/Documents/R/win-library/3.6,1.8-6,NA,3.6.2
base,C:/Users/jkee2/Documents/R/R-3.6.2/library,3.6.2,base,3.6.2
boot,C:/Users/jkee2/Documents/R/R-3.6.2/library,1.3-23,recommended,3.6.2
class,C:/Users/jkee2/Documents/R/R-3.6.2/library,7.3-15,recommended,3.6.2
cluster,C:/Users/jkee2/Documents/R/R-3.6.2/library,2.1.0,recommended,3.6.2
codetools,C:/Users/jkee2/Documents/R/R-3.6.2/library,0.2-16,recommended,3.6.2
compiler,C:/Users/jkee2/Documents/R/R-3.6.2/library,3.6.2,base,3.6.2
datasets,C:/Users/jkee2/Documents/R/R-3.6.2/library,3.6.2,base,3.6.2
foreign,C:/Users/jkee2/Documents/R/R-3.6.2/library,0.8-72,recommended,3.6.2
graphics,C:/Users/jkee2/Documents/R/R-3.6.2/library,3.6.2,base,3.6.2
grDevices,C:/Users/jkee2/Documents/R/R-3.6.2/library,3.6.2,base,3.6.2
grid,C:/Users/jkee2/Documents/R/R-3.6.2/library,3.6.2,base,3.6.2
KernSmooth,C:/Users/jkee2/Documents/R/R-3.6.2/library,2.23-16,recommended,3.6.2
lattice,C:/Users/jkee2/Documents/R/R-3.6.2/library,0.20-38,recommended,3.6.2
MASS,C:/Users/jkee2/Documents/R/R-3.6.2/library,7.3-51.4,recommended,3.6.2
Matrix,C:/Users/jkee2/Documents/R/R-3.6.2/library,1.2-18,recommended,3.6.2
methods,C:/Users/jkee2/Documents/R/R-3.6.2/library,3.6.2,base,3.6.2
mgcv,C:/Users/jkee2/Documents/R/R-3.6.2/library,1.8-31,recommended,3.6.2
nlme,C:/Users/jkee2/Documents/R/R-3.6.2/library,3.1-142,recommended,3.6.2
nnet,C:/Users/jkee2/Documents/R/R-3.6.2/library,7.3-12,recommended,3.6.2
parallel,C:/Users/jkee2/Documents/R/R-3.6.2/library,3.6.2,base,3.6.2
rpart,C:/Users/jkee2/Documents/R/R-3.6.2/library,4.1-15,recommended,3.6.2
spatial,C:/Users/jkee2/Documents/R/R-3.6.2/library,7.3-11,recommended,3.6.2
splines,C:/Users/jkee2/Documents/R/R-3.6.2/library,3.6.2,base,3.6.2
stats,C:/Users/jkee2/Documents/R/R-3.6.2/library,3.6.2,base,3.6.2
stats4,C:/Users/jkee2/Documents/R/R-3.6.2/library,3.6.2,base,3.6.2
survival,C:/Users/jkee2/Documents/R/R-3.6.2/library,3.1-8,recommended,3.6.2
tcltk,C:/Users/jkee2/Documents/R/R-3.6.2/library,3.6.2,base,3.6.2
tools,C:/Users/jkee2/Documents/R/R-3.6.2/library,3.6.2,base,3.6.2
translations,C:/Users/jkee2/Documents/R/R-3.6.2/library,3.6.2,NA,3.6.2
utils,C:/Users/jkee2/Documents/R/R-3.6.2/library,3.6.2,base,3.6.2
